Restaurant Name,Link,Venue ID,City,State
Acre,https://resy.com/cities/auburn-al/venues/acre,9678,Auburn,AL
Amsterdam Cafe,https://resy.com/cities/auburn-al/venues/amsterdam-cafe,68492,Auburn,AL
Bow & Arrow BBQ,https://resy.com/cities/auburn-al/venues/bow-and-arrow-bbq,15426,Auburn,AL
Lucy's,https://resy.com/cities/auburn-al/venues/lucys,2778,Auburn,AL
Vintage 2298,https://resy.com/cities/auburn-al/venues/vintage-2298,59362,Auburn,AL
War Eagle Supper Club at Graduate Auburn,https://resy.com/cities/auburn-al/venues/war-eagle-supper-club-at-graduate-auburn,84661,Auburn,AL
All Steak,https://resy.com/cities/cullman-al/venues/all-steak,6080,Cullman,AL
Ledger's,https://resy.com/cities/cullman-al/venues/ledgers-at-stone-bridge-farms,39446,Cullman,AL
Automatic Seafood and Oysters,https://resy.com/cities/birmingham-al/venues/automatic-seafood-and-oysters,25116,Birmingham,AL
Bettola,https://resy.com/cities/birmingham-al/venues/bettola,10320,Birmingham,AL
Bistro Two Eighteen,https://resy.com/cities/birmingham-al/venues/bistro-two-eighteen,74522,Birmingham,AL
Blueprint on 3rd,https://resy.com/cities/birmingham-al/venues/blueprint-on-3rd,65498,Birmingham,AL
Bocca Ristorante,https://resy.com/cities/birmingham-al/venues/bocca-ristorante,74520,Birmingham,AL
Bottega,https://resy.com/cities/birmingham-al/venues/bottega,12206,Birmingham,AL
Cafe Dupont,https://resy.com/cities/birmingham-al/venues/cafe-dupont-birmingham,59634,Birmingham,AL
Cayo Coco,https://resy.com/cities/birmingham-al/venues/cayo-coco,69095,Birmingham,AL
Chez Fonfon,https://resy.com/cities/birmingham-al/venues/chez-fonfon,34939,Birmingham,AL
Chuck's Fish - Birmingham,https://resy.com/cities/birmingham-al/venues/chucks-fish-birmingham,1845,Birmingham,AL
Cru Lounge Birmingham,https://resy.com/cities/birmingham-al/venues/cru-lounge-birmingham,59838,Birmingham,AL
Current Charcoal Grill,https://resy.com/cities/birmingham-al/venues/current-charcoal-grill,79984,Birmingham,AL
Dyron's Lowcountry,https://resy.com/cities/birmingham-al/venues/dyrons-low-country,4991,Birmingham,AL
Helen,https://resy.com/cities/birmingham-al/venues/helen,28404,Birmingham,AL
Hot and Hot Fish Club,https://resy.com/cities/birmingham-al/venues/hot-and-hot-fish-club,5694,Birmingham,AL
Dyron's Lowcountry,https://resy.com/cities/birmingham-al/venues/dyrons-low-country,4991,Birmingham,AL
Helen,https://resy.com/cities/birmingham-al/venues/helen,28404,Birmingham,AL
Hot and Hot Fish Club,https://resy.com/cities/birmingham-al/venues/hot-and-hot-fish-club,5694,Birmingham,AL
J. Alexander's Hoover,https://resy.com/cities/birmingham-al/venues/j-alexanders-hoover,6852,Birmingham,AL
Juniper at the Museum,https://resy.com/cities/birmingham-al/venues/juniper-at-the-museum,84112,Birmingham,AL
La Fête,https://resy.com/cities/birmingham-al/venues/la-fete,61163,Birmingham,AL
Luca,https://resy.com/cities/birmingham-al/venues/luca,78404,Birmingham,AL
Magnolia Point Seafood,https://resy.com/cities/birmingham-al/venues/magnolia-point-seafood,83661,Birmingham,AL
Ocean,https://resy.com/cities/birmingham-al/venues/ocean,45460,Birmingham,AL
OvenBird Restaurant,https://resy.com/cities/birmingham-al/venues/ovenbird-restaurant,5663,Birmingham,AL
Ruby Sunshine Brook Highland,https://resy.com/cities/birmingham-al/venues/ruby-sunshine-brook-highland,69500,Birmingham,AL
Satterfield's,https://resy.com/cities/birmingham-al/venues/satterfields,59250,Birmingham,AL
Sloan’s,https://resy.com/cities/birmingham-al/venues/sloans,84681,Birmingham,AL
Tasty Town Greek Restaurant and Lounge,https://resy.com/cities/birmingham-al/venues/tasty-town-greek-restaurant-and-lounge,72109,Birmingham,AL
The Essential,https://resy.com/cities/birmingham-al/venues/the-essential,6741,Birmingham,AL
The Fish Market | Southside,https://resy.com/cities/birmingham-al/venues/the-fish-market-southside,84363,Birmingham,AL
Village Tavern - Birmingham,https://resy.com/cities/birmingham-al/venues/village-tavern-birmingham,37239,Birmingham,AL
Botanic,https://resy.com/cities/opelika-al/venues/botanic,62897,Opelika,AL
Brock's,https://resy.com/cities/hoover-al/venues/brocks,74708,Hoover,AL
Farrelly’s Southern Bar & Kitchen,https://resy.com/cities/hoover-al/venues/farrellys-southern-bar-kitchen,74267,Hoover,AL
Farrelly’s Southern Bar & Kitchen,https://resy.com/cities/hoover-al/venues/farrellys-southern-bar-kitchen,74267,Hoover,AL
Central Restaurant,https://resy.com/cities/montgomery-al/venues/central-restaurant,10316,Montgomery,AL
Chuck's Fish Montgomery,https://resy.com/cities/montgomery-al/venues/chucks-fish-montgomery,65506,Montgomery,AL
Cork & Cleaver,https://resy.com/cities/montgomery-al/venues/cork-and-cleaver,62734,Montgomery,AL
Frenchie's,https://resy.com/cities/montgomery-al/venues/frenchies,72355,Montgomery,AL
Frenchie's,https://resy.com/cities/montgomery-al/venues/frenchies,72355,Montgomery,AL
Ravello Ristorante,https://resy.com/cities/montgomery-al/venues/ravello-ristorante,58633,Montgomery,AL
